month,content_type,count,platform
2021-06,other,2,Instagram
2021-07,other,1,Instagram
2021-08,other,1,Instagram
2021-09,other,1,Instagram
2021-10,other,1,Instagram
2021-11,other,1,Instagram
2022-01,other,1,Instagram
2022-02,other,1,Instagram
2022-04,other,1,Instagram
2022-06,country,1,Instagram
2022-07,other,1,Instagram
2022-09,other,1,Instagram
2022-10,other,1,Instagram
2022-11,other,1,Instagram
2022-12,other,1,Instagram
2023-03,other,1,Instagram
2023-06,other,1,Instagram
2023-07,country,1,Instagram
2023-09,other,1,Instagram
2023-10,country,1,Instagram
2023-10,other,1,Instagram
2024-01,country,1,Instagram
2024-03,country,1,Instagram
2024-04,other,2,Instagram
2024-05,country,1,Instagram
2024-05,other,1,Instagram
2024-06,other,1,Instagram
2024-07,country,1,Instagram
2024-07,other,2,Instagram
2024-08,other,1,Instagram
2024-09,country,1,Instagram
2024-10,other,1,Instagram
2024-12,other,1,Instagram
2025-01,country,1,Instagram
2025-01,other,1,Instagram
2025-03,country,3,Instagram
2025-03,other,1,Instagram
2025-04,country,1,Instagram
2025-04,gaming,1,Instagram
2025-04,other,1,Instagram
2019-03,other,1,Twitter
2020-08,other,2,Twitter
2020-09,other,1,Twitter
2020-09,reaction,1,Twitter
2020-10,gaming,2,Twitter
2020-10,other,6,Twitter
2020-11,gaming,1,Twitter
2020-11,other,2,Twitter
2020-12,other,3,Twitter
2021-01,other,2,Twitter
2021-02,other,2,Twitter
2021-03,meme,1,Twitter
2021-03,other,6,Twitter
2021-04,gaming,2,Twitter
2021-04,meme,1,Twitter
2021-04,other,2,Twitter
2021-04,viral,1,Twitter
2021-05,other,8,Twitter
2021-05,viral,1,Twitter
2021-06,gaming,1,Twitter
2021-06,other,15,Twitter
2021-07,other,3,Twitter
2021-08,other,4,Twitter
2021-09,other,5,Twitter
2021-10,other,1,Twitter
2021-11,other,1,Twitter
2021-12,other,1,Twitter
2022-01,gaming,2,Twitter
2022-01,other,5,Twitter
2022-02,other,5,Twitter
2022-02,reaction,1,Twitter
2022-03,gaming,1,Twitter
2022-03,other,2,Twitter
2022-03,reaction,1,Twitter
2022-04,other,3,Twitter
2022-06,other,1,Twitter
2022-07,gaming,1,Twitter
2022-07,other,1,Twitter
2022-08,other,3,Twitter
2022-09,country,1,Twitter
2022-09,gaming,3,Twitter
2022-09,other,9,Twitter
2022-10,gaming,2,Twitter
2022-10,meme,3,Twitter
2022-10,other,10,Twitter
2022-11,country,2,Twitter
2022-11,meme,2,Twitter
2022-11,music,1,Twitter
2022-11,other,17,Twitter
2022-11,reaction,1,Twitter
2022-12,country,1,Twitter
2022-12,music,1,Twitter
2022-12,other,17,Twitter
2023-01,gaming,1,Twitter
2023-01,other,4,Twitter
2023-01,reaction,1,Twitter
2023-02,country,1,Twitter
2023-02,other,4,Twitter
2023-03,country,1,Twitter
2023-03,other,2,Twitter
2023-04,other,1,Twitter
2023-05,country,1,Twitter
2023-05,other,2,Twitter
2023-05,viral,1,Twitter
2023-06,country,1,Twitter
2023-06,gaming,1,Twitter
2023-06,other,1,Twitter
2023-06,viral,1,Twitter
2023-07,country,1,Twitter
2023-07,other,1,Twitter
2023-09,other,3,Twitter
2023-10,other,4,Twitter
2023-11,gaming,1,Twitter
2023-11,other,1,Twitter
2023-12,other,1,Twitter
2024-01,country,1,Twitter
2024-01,other,3,Twitter
2024-02,other,1,Twitter
2024-03,country,1,Twitter
2024-04,meme,2,Twitter
2024-04,other,1,Twitter
2024-05,other,3,Twitter
2024-06,country,1,Twitter
2024-06,other,2,Twitter
2024-07,meme,1,Twitter
2024-07,other,6,Twitter
2024-08,music,1,Twitter
2024-08,other,1,Twitter
2024-09,country,1,Twitter
2024-09,gaming,1,Twitter
2024-09,other,1,Twitter
2024-10,livestream,1,Twitter
2024-10,other,3,Twitter
2024-11,country,2,Twitter
2024-11,other,1,Twitter
2024-12,gaming,1,Twitter
2024-12,other,4,Twitter
2025-01,country,2,Twitter
2025-01,music,1,Twitter
2025-01,other,4,Twitter
2025-02,other,2,Twitter
2025-03,country,3,Twitter
2025-03,other,2,Twitter
2025-03,viral,1,Twitter
2025-04,country,1,Twitter
2025-04,gaming,1,Twitter
2025-04,other,1,Twitter
