Date,Predicted Subscribers
2022-06-30 00:00:00+00:00,8920000
2022-07-31 00:00:00+00:00,10300000
2022-08-31 00:00:00+00:00,10900000
2022-09-30 00:00:00+00:00,11500000
2022-10-31 00:00:00+00:00,12400000
2022-11-30 00:00:00+00:00,13700000
2022-12-31 00:00:00+00:00,15000000
2023-01-31 00:00:00+00:00,15400000
2023-02-28 00:00:00+00:00,15800000
2023-03-31 00:00:00+00:00,16200000
2023-04-30 00:00:00+00:00,16500000
2023-05-31 00:00:00+00:00,16800000
2023-06-30 00:00:00+00:00,17900000
2023-07-31 00:00:00+00:00,18800000
2023-08-31 00:00:00+00:00,20100000
2023-09-30 00:00:00+00:00,20400000
2023-10-31 00:00:00+00:00,21300000
2023-11-30 00:00:00+00:00,21800000
2023-12-31 00:00:00+00:00,22200000
2024-01-31 00:00:00+00:00,22700000
2024-02-29 00:00:00+00:00,23100000
2024-03-31 00:00:00+00:00,23400000
2024-04-30 00:00:00+00:00,24200000
2024-05-31 00:00:00+00:00,24900000
2024-06-30 00:00:00+00:00,25500000
2024-07-31 00:00:00+00:00,27500000
2024-08-31 00:00:00+00:00,28600000
2024-09-30 00:00:00+00:00,32200000
2024-10-31 00:00:00+00:00,32800000
2024-11-30 00:00:00+00:00,33400000
2024-12-31 00:00:00+00:00,34200000
2025-01-31 00:00:00+00:00,35700000
2025-02-28 00:00:00+00:00,36300000
2025-03-31 00:00:00+00:00,37400000
2025-04-30 00:00:00+00:00,39300000
2025-05-31 00:00:00+00:00,39700000
2025-06-30 00:00:00+00:00,39800000
2025-07-31 00:00:00+00:00,39359560
2025-08-31 00:00:00+00:00,40213815
2025-09-30 00:00:00+00:00,41040513
2025-10-31 00:00:00+00:00,41894768
2025-11-30 00:00:00+00:00,42721466
2025-12-31 00:00:00+00:00,43575720
2026-01-31 00:00:00+00:00,44429975
2026-02-28 00:00:00+00:00,45201560
2026-03-31 00:00:00+00:00,46055815
2026-04-30 00:00:00+00:00,46882513
2026-05-31 00:00:00+00:00,47736767
2026-06-30 00:00:00+00:00,48563466
