date,negative,neutral,positive,net_sentiment,platform
2025-02-19,0,0,1,1,Twitter
2025-02-23,0,0,1,1,Twitter
2025-02-24,1,0,0,-1,Twitter
2025-03-07,0,1,2,2,Twitter
2025-03-08,1,2,5,4,Twitter
2025-03-10,3,3,1,-2,Twitter
2025-03-11,0,1,1,1,Twitter
2025-03-12,0,0,2,2,Twitter
2025-03-13,0,0,1,1,Twitter
2025-03-14,0,0,1,1,Twitter
2025-03-15,3,0,1,-2,Twitter
2025-03-16,0,2,2,2,Twitter
2025-03-17,0,1,0,0,Twitter
2025-03-19,0,2,1,1,Twitter
2025-03-20,0,1,2,2,Twitter
2025-03-21,1,1,0,-1,Twitter
2025-03-22,1,0,0,-1,Twitter
2025-03-24,0,2,7,7,Twitter
2025-03-25,2,0,4,2,Twitter
2025-03-26,7,3,8,1,Twitter
2025-03-27,2,1,7,5,Twitter
2025-03-28,6,4,14,8,Twitter
2025-03-29,5,1,12,7,Twitter
2025-03-30,1,3,5,4,Twitter
2025-03-31,7,10,8,1,Twitter
2025-04-01,4,3,7,3,Twitter
2025-04-02,7,12,13,6,Twitter
2025-04-03,1,10,9,8,Twitter
2025-04-04,5,5,6,1,Twitter
2025-04-05,12,20,20,8,Twitter
2025-04-06,3,4,10,7,Twitter
2025-04-07,4,8,6,2,Twitter
2025-04-08,3,8,7,4,Twitter
2025-04-09,3,5,3,0,Twitter
2025-04-10,2,1,4,2,Twitter
2025-04-11,4,6,8,4,Twitter
2025-04-12,1,2,1,0,Twitter
2025-04-13,0,0,3,3,Twitter
2025-04-14,0,2,1,1,Twitter
2025-04-15,1,2,0,-1,Twitter
2025-04-16,0,2,0,0,Twitter
2025-04-17,0,0,1,1,Twitter
2025-04-18,1,1,1,0,Twitter
2025-04-19,0,1,0,0,Twitter
2025-04-20,0,1,3,3,Twitter
2025-04-21,2,4,2,0,Twitter
2025-04-22,2,0,1,-1,Twitter
2025-04-23,0,4,2,2,Twitter
2025-04-24,1,4,2,1,Twitter
2025-04-25,0,2,0,0,Twitter
2025-04-26,3,4,2,-1,Twitter
2025-04-27,4,4,1,-3,Twitter
2025-04-28,1,1,2,1,Twitter
2025-04-29,0,3,2,2,Twitter
2025-04-30,1,2,2,1,Twitter
2025-05-01,0,2,2,2,Twitter
2025-05-02,2,4,3,1,Twitter
2025-05-03,3,2,0,-3,Twitter
2025-05-04,1,1,1,0,Twitter
2025-05-05,5,3,10,5,Twitter
2025-05-06,4,5,2,-2,Twitter
2025-05-07,2,1,0,-2,Twitter
2025-05-08,1,2,2,1,Twitter
2025-05-09,1,7,12,11,Twitter
2025-05-10,5,1,1,-4,Twitter
2025-05-11,3,2,1,-2,Twitter
2025-05-12,1,2,5,4,Twitter
2025-05-13,0,1,1,1,Twitter
2025-05-14,1,1,2,1,Twitter
2025-05-15,2,3,1,-1,Twitter
2025-05-16,1,2,1,0,Twitter
2025-05-17,1,1,4,3,Twitter
2025-05-18,2,1,1,-1,Twitter
2025-05-19,1,1,0,-1,Twitter
2025-05-20,4,9,6,2,Twitter
2025-05-21,5,11,10,5,Twitter
2025-05-22,14,11,10,-4,Twitter
2025-05-23,15,34,17,2,Twitter
2025-05-24,12,26,17,5,Twitter
2025-05-25,10,8,10,0,Twitter
2025-05-26,8,19,6,-2,Twitter
2025-05-27,3,14,15,12,Twitter
2025-05-28,7,16,13,6,Twitter
2025-05-29,4,4,9,5,Twitter
2025-05-30,10,21,28,18,Twitter
2025-05-31,2,1,1,-1,Twitter
