Month,Predicted Views
2018-06,4703793
2019-06,1215410
2020-06,262135
2021-06,34686692
2022-06,366915755
2023-06,260713171
2024-06,179089564
2024-07,11679213
2024-12-01 00:00:00,202950797
2025-01-01 00:00:00,205552593
2025-02-01 00:00:00,208154389
2025-03-01 00:00:00,210504399
2025-04-01 00:00:00,213106196
2025-05-01 00:00:00,215624063
2025-06-01 00:00:00,218225859
2025-07-01 00:00:00,220743727
2025-08-01 00:00:00,223345523
2025-09-01 00:00:00,225947320
2025-10-01 00:00:00,228465187
2025-11-01 00:00:00,231066984
2025-12-01 00:00:00,233584851
